#{"t_start": 1781113351.3230424, "env_id": "None"}
r,l,t
152.261428,60,1.495611
134.112087,57,1.705925
89.849171,46,1.87798
140.116818,58,2.101386
136.800502,58,2.320986
201.488424,73,2.604364
154.948229,62,2.837524
141.116281,58,3.05054
189.724445,70,3.316616
89.873748,47,3.497793
182.06839,68,3.751203
127.956565,55,3.961998
118.678736,52,4.164828
143.778831,59,4.390456
200.478159,71,4.659369
152.880452,61,4.893352
202.862665,73,5.17395
136.564592,56,5.384675
146.625564,59,5.612573
103.742013,51,5.810694
148.805128,61,6.042153
136.625134,57,6.267893
95.508704,48,6.452727
78.762278,44,6.622271
117.159708,54,6.83302
122.912627,54,7.040405
113.787264,51,7.242332
150.22769,60,7.473798
160.339975,64,7.716206
146.893682,60,7.954576
104.472431,50,8.153649
171.759752,65,8.403296
131.535023,55,8.614459
89.644416,46,8.793588
112.798503,51,8.993952
247.584039,83,9.663134
188.945244,70,9.944957
240.814105,81,10.269002
114.908342,52,10.471417
122.245779,53,10.677532
145.395864,60,10.905064
98.257846,49,11.093258
125.67042,54,11.314709
134.919482,56,11.529307
72.84191,43,11.703808
103.385275,49,11.892194
92.896631,47,12.069272
155.584065,62,12.317348
97.783204,48,12.503977
194.121642,69,12.775782
81.454688,44,12.947007
121.99834,54,13.165315
110.060583,52,13.364985
132.00011,56,13.587102
166.168601,64,13.843464
184.98831,68,14.109426
184.356406,68,14.387217
127.759389,55,14.633435
321.206721,101,15.028809
112.090424,51,15.232996
111.846554,51,15.430528
101.837054,48,15.607949
122.676841,54,15.819641
97.442586,48,16.004478
142.512222,58,16.226126
88.384611,46,16.393762
138.706495,58,16.61377
107.962216,49,16.800106
104.389121,50,16.988575
148.653838,60,17.221667
182.345133,68,17.473785
116.237437,53,18.052445
117.625913,53,18.256706
101.770514,49,18.432313
93.031046,48,18.606543
123.708279,54,18.804167
145.367013,59,19.023877
161.738131,62,19.257488
129.74999,55,19.457495
130.042377,55,19.656759
116.536022,53,19.856071
132.231375,57,20.063137
186.298669,69,20.313083
115.423645,53,20.50281
195.590955,70,20.753874
76.492985,42,20.91025
111.750613,52,21.099217
103.812773,49,21.283152
141.092086,58,21.494832
100.251614,49,21.673967
149.783096,60,21.89606
139.093851,56,22.102308
138.327194,56,22.311812
122.49359,54,22.514512
183.079185,67,22.762125
234.361199,79,23.060999
178.08417,69,23.327338
112.160526,51,23.517814
179.969918,68,23.773426
101.76966,48,23.957094
162.563051,62,24.19184
126.841875,55,24.398294
98.899956,49,24.584237
113.500304,52,24.777596
113.842904,52,24.97348
166.118518,64,25.217027
95.446633,48,25.395804
207.87373,73,26.061164
104.74274,50,26.254341
161.116607,62,26.480209
125.739403,55,26.682806
131.880466,56,26.894734
126.638669,53,27.093824
165.358947,64,27.34509
133.241158,57,27.562874
282.933981,91,27.898953
159.891121,63,28.143796
127.285578,55,28.361059
174.92246,64,28.615862
138.761985,58,28.840433
132.082806,56,29.061268
291.174024,96,29.438406
168.331757,64,29.686321
139.275015,58,29.908625
123.666914,53,30.105993
105.449745,50,30.307099
121.778667,54,30.511779
110.760215,50,30.703424
99.941677,48,30.888822
92.430426,46,31.065252
100.365454,49,31.261902
110.896759,52,31.464783
102.357682,49,31.655142
135.62828,57,31.878036
135.544478,57,32.102323
113.839657,51,32.304821
125.836499,55,32.520428
171.949713,65,32.7787
214.277295,75,33.071134
138.291364,56,33.296366
104.889465,50,33.502568
158.693012,62,33.743111
162.864694,62,34.356431
114.147063,53,34.56546
126.115792,56,34.778236
203.7832,73,35.057326
73.195176,43,35.221687
160.204197,62,35.457765
152.413857,61,35.685036
151.436493,61,35.915309
160.190793,62,36.149644
199.732322,71,36.422608
143.71183,57,36.636744
113.888541,51,36.832288
92.974285,47,37.014619
120.722745,53,37.221734
121.656046,53,37.431986
115.900875,52,37.626655
101.277589,50,37.813945
143.47322,59,38.043068
104.805088,49,38.240278
118.528968,53,38.44939
123.699312,54,38.6572
158.245596,62,38.904109
92.976082,47,39.09305
79.886325,44,39.263268
86.282653,46,39.447779
138.426474,58,39.670543
175.315943,65,39.922244
146.576403,60,40.151437
304.421607,97,40.524521
147.386532,59,40.751708
91.05434,48,40.939486
134.836931,57,41.161142
108.851233,51,41.364678
115.017769,51,41.560114
185.637303,67,41.817176
85.612943,45,41.989471
104.553129,51,42.551808
328.589783,100,42.950716
106.866828,51,43.150457
90.613768,45,43.322372
103.257655,49,43.518679
245.742629,81,43.830709
127.965564,55,44.035272
132.097315,55,44.244065
118.419514,54,44.457369
125.635859,55,44.671812
94.888798,47,44.859864
97.225622,49,45.045192
176.996468,67,45.314476
77.957564,44,45.489015
180.633492,67,45.758048
166.584712,65,46.009819
195.359541,71,46.275262
108.60992,49,46.473442
202.919506,73,46.761864
102.700812,49,46.955554
89.6428,46,47.138061
232.714754,79,47.45324
132.282112,57,47.676969
154.025954,60,47.915718
120.001017,53,48.125011
103.309175,50,48.322627
113.133746,51,48.528425
91.935871,47,48.709322
145.90468,58,48.933156
280.14646,91,49.289062
100.934096,49,49.488395
171.137811,65,49.745716
217.91984,76,50.043573
92.873772,47,50.222605
197.374605,71,50.860504
133.381407,56,51.11339
117.031705,53,51.317884
118.529217,53,51.522591
129.905746,56,51.805281
152.749018,61,52.045594
118.710453,53,52.247938
119.185894,53,52.464496
162.167165,63,52.714801
115.104877,52,52.916952
129.804927,55,53.121825
112.509238,52,53.316959
117.825025,52,53.520165
79.662319,45,53.692706
106.908116,50,53.880403
103.05655,50,54.074862
293.554971,93,54.433311
177.236409,66,54.692365
83.182301,44,54.861428
122.37216,53,55.063247
138.947952,58,55.286535
130.402219,56,55.507757
117.970216,53,55.707745
120.340027,53,55.908704
103.514665,49,56.097501
162.614196,64,56.33388
156.111075,63,56.584141
200.821303,72,56.870118
130.897357,55,57.080848
104.109337,50,57.277233
121.897817,54,57.492378
154.903214,61,57.731809
100.97577,49,57.921876
101.320933,49,58.109761
126.833892,54,58.320069
156.472393,62,58.568607
107.548995,51,58.762326
147.490318,59,59.377706
134.296806,56,59.613051
151.476485,61,59.842177
155.04902,61,60.068521
105.303837,49,60.247676
177.341256,65,60.489528
80.558868,44,60.662902
171.525014,65,60.90483
135.381964,57,61.117621
131.865096,57,61.337384
117.265611,52,61.533922
134.1243,56,61.753783
125.341448,56,61.967591
125.967472,54,62.174585
97.414345,47,62.351247
124.440938,55,62.563969
177.255366,68,62.819086
210.691083,74,63.106635
104.160451,50,63.306861
128.915497,55,63.517465
199.49739,71,63.797243
132.808998,56,64.012417
122.262813,52,64.216368
138.428722,56,64.436672
118.984676,54,64.650468
128.280461,54,64.858584
85.578122,45,65.036084
141.485685,59,65.265514
136.538659,56,65.478079
202.260388,73,65.758577
461.020922,132,66.272456
133.261351,57,66.481058
163.232551,63,66.703975
160.990934,64,66.917565
140.678801,58,67.451959
124.096379,55,67.705091
107.692012,51,67.901326
152.265898,61,68.130189
122.659183,55,68.329395
254.660169,85,68.6329
106.381254,50,68.806956
87.707242,46,68.973079
175.140032,66,69.205532
173.577115,65,69.439804
127.865175,54,69.63498
124.730799,54,69.825844
131.758196,56,70.018594
190.225568,69,70.281845
161.735211,64,70.516578
114.340179,52,70.704547
113.250616,51,70.889194
135.784748,57,71.084941
197.099168,71,71.338774
197.28345,73,71.600386
167.835169,65,71.833253
110.908204,51,72.018216
96.954268,48,72.185339
78.347627,44,72.342831
218.603171,78,72.622259
153.806515,62,72.836234
198.413174,71,73.089295
135.397236,57,73.292533
133.654128,56,73.490358
77.071194,44,73.649998
150.81576,60,73.865954
112.442114,52,74.050641
150.407172,61,74.2662
115.314692,52,74.452406
295.41537,95,74.789965
467.639856,136,75.727152
147.563063,59,75.943136
112.159213,50,76.124846
87.354807,45,76.28124
126.471054,55,76.475662
204.233647,73,76.728914
156.751898,60,76.943442
199.749153,71,77.232183
90.533163,47,77.400319
174.376105,66,77.643758
154.219937,61,77.862388
120.098825,53,78.049322
97.382385,48,78.219649
254.624236,84,78.514516
105.586967,49,78.690608
258.064946,86,78.996333
231.762163,79,79.285964
137.083298,58,79.491714
145.407283,57,79.694531
109.407058,51,79.879903
117.106667,54,80.071092
167.954908,65,80.296028
143.639945,60,80.504889
157.819364,63,80.728862
126.378831,54,80.917711
193.13767,70,81.174704
128.308255,56,81.373833
140.658905,57,81.578032
133.581555,57,81.77924
127.595726,56,81.974513
164.617988,63,82.19364
140.375109,58,82.395699
107.449459,50,82.571815
113.599488,52,83.164643
111.463375,52,83.358545
137.270248,58,83.570207
88.558391,46,83.74424
83.133827,45,83.904979
141.19934,59,84.114692
108.279487,50,84.291865
123.051458,53,84.475454
120.338784,53,84.661232
156.969896,62,84.877991
139.560827,58,85.081
175.072298,67,85.319019
113.320337,53,85.504144
105.538045,50,85.686157
218.90588,76,85.957393
137.527637,57,86.148742
96.19381,47,86.314083
110.722927,51,86.487453
