#{"t_start": 1781113351.4566233, "env_id": "None"}
r,l,t
149.464678,60,1.36203
131.200139,56,1.568193
119.699667,52,1.762924
155.098959,61,1.998459
168.172586,64,2.244444
93.765167,48,2.42945
116.292657,52,2.621481
127.810347,56,2.832367
141.101579,58,3.052232
110.669131,51,3.248788
149.910001,60,3.474525
205.455201,73,3.749619
126.427548,55,3.962351
132.696368,57,4.178762
90.218775,46,4.356096
151.315334,61,4.588948
126.152783,55,4.798508
185.9936,69,5.062812
125.612661,54,5.265787
114.844167,53,5.471391
170.194109,65,5.721379
129.46496,55,5.931724
124.325243,55,6.149395
114.997433,52,6.350771
107.785584,51,6.549718
166.731741,64,6.796143
274.362006,89,7.143167
103.173193,50,7.336373
124.614585,54,7.541474
143.44916,60,7.773184
120.223784,54,7.991955
93.075625,47,8.174181
129.672997,55,8.384419
151.420421,61,8.622489
161.588587,63,8.868874
100.646073,49,9.381361
137.861889,58,9.634004
154.644026,60,9.873093
151.823564,61,10.120312
122.544507,55,10.333539
109.565395,50,10.526313
122.174231,55,10.735228
81.841194,45,10.912577
122.833191,54,11.127494
171.082723,65,11.38091
140.898328,58,11.611648
143.675357,59,11.835747
122.738487,54,12.048927
191.175853,69,12.319544
87.834285,46,12.500979
139.514722,57,12.726866
185.287316,68,12.990828
287.142389,93,13.361289
107.874192,51,13.562507
130.707042,55,13.781177
136.721307,56,14.003551
100.479486,49,14.200944
126.065173,54,14.441244
145.391927,59,14.679987
157.472968,62,14.918197
129.493847,54,15.135293
106.837982,50,15.326087
121.963122,55,15.53492
135.057197,58,15.762464
162.1635,62,15.993365
113.438856,52,16.18909
124.958406,53,16.393716
233.169798,79,16.688939
146.346201,59,16.911739
122.14356,53,17.118658
142.213106,59,17.337662
90.348737,47,17.887221
112.130025,52,18.092934
96.268345,47,18.265283
124.624641,54,18.459404
120.313673,54,18.655963
109.546044,52,18.85099
109.587267,50,19.036716
137.582244,58,19.252112
180.015781,68,19.500888
137.147202,57,19.710445
125.96377,55,19.910098
114.282856,53,20.107358
138.384481,57,20.308835
151.480501,60,20.526095
145.828632,58,20.734896
161.073285,64,20.97004
123.972628,54,21.170653
226.916946,78,21.455374
151.233199,61,21.679055
