#{"t_start": 1781113350.809516, "env_id": "None"}
r,l,t
119.359582,52,1.981046
90.291395,47,2.15398
188.841071,68,2.406363
126.644706,54,2.61471
78.773233,44,2.777429
119.183607,53,2.986975
132.989312,57,3.203347
248.730342,83,3.511405
138.002446,57,3.728636
172.54276,64,3.972434
118.852715,54,4.176696
118.128792,53,4.377223
121.63093,54,4.585574
116.601548,53,4.78604
151.075498,60,5.018861
147.980773,60,5.247285
104.77277,49,5.43451
191.59072,70,5.702242
192.63066,71,5.969419
156.24552,62,6.213383
215.439695,75,6.501298
163.95773,63,6.747906
140.371425,58,6.970501
135.982971,57,7.191922
110.332274,51,7.390591
137.580725,57,7.615227
111.857465,51,7.811573
84.111285,45,7.9834
115.093823,51,8.177438
93.032667,46,8.356656
145.817089,60,8.590201
171.142902,64,8.844326
103.814652,50,9.035376
129.24646,55,9.250001
113.11818,52,9.454749
146.75124,59,10.000655
88.290732,46,10.207828
109.177023,50,10.409905
135.835089,56,10.632535
138.87804,56,10.85558
71.997807,42,11.019599
178.498986,67,11.277104
133.284708,56,11.49085
134.942755,56,11.718186
101.728537,50,11.912776
138.221426,58,12.139739
149.631672,60,12.372967
126.399203,54,12.578644
150.748104,61,12.822677
192.622633,70,13.09629
177.252367,67,13.361445
143.145378,58,13.584754
124.394284,53,13.79921
138.074812,57,14.024656
175.450284,66,14.285861
132.574852,57,14.508257
166.344737,64,14.772852
94.836174,47,14.971518
148.76103,60,15.221254
107.605344,51,15.42208
147.213888,60,15.658323
152.203013,60,15.892832
137.881724,58,16.110735
79.863157,44,16.282119
159.888538,61,16.51776
287.555871,91,16.858744
99.130711,47,17.040601
154.508995,61,17.267726
111.294808,52,17.462783
162.871188,63,17.709726
118.943363,54,17.911086
149.193938,61,18.506839
137.511108,58,18.740168
160.344207,63,18.966165
110.067798,51,19.15477
98.782622,48,19.329133
58.290346,38,19.472087
94.124509,47,19.641874
203.632704,72,19.914265
144.397632,59,20.129783
121.631359,54,20.327417
78.234735,44,20.48896
158.748036,62,20.715293
111.20393,51,20.897098
231.415322,79,21.185576
138.565071,58,21.394024
152.481278,60,21.61288
105.205057,49,21.796297
271.351461,88,22.117531
173.258613,65,22.355894
189.104066,69,22.61168
112.450889,52,22.805091
142.362102,58,23.023933
191.785676,69,23.279529
163.366359,62,23.515218
116.960294,52,23.719633
150.000368,60,23.939223
120.972013,54,24.145414
104.346207,50,24.335407
81.502243,44,24.499954
121.331829,54,24.706199
149.056611,60,24.930855
169.23811,64,25.16881
101.72502,49,25.356215
136.020551,57,25.571905
83.416167,44,25.739047
197.585029,72,26.352141
199.074174,72,26.670565
127.674192,55,26.878349
118.612533,54,27.077913
259.093489,86,27.396766
118.998837,54,27.59968
111.289947,52,27.806194
104.3823,50,27.995945
112.882699,51,28.187291
169.18478,65,28.427656
124.487737,55,28.641656
134.360347,57,28.865881
156.902014,62,29.113502
155.398782,62,29.354187
134.704722,57,29.578563
148.647822,60,29.815091
112.502168,51,30.014163
131.965261,56,30.230481
91.795457,47,30.410736
156.427619,61,30.639827
105.160668,50,30.840769
96.380663,48,31.021434
118.420643,53,31.224363
175.779154,66,31.476913
112.426807,51,31.675645
165.453654,65,31.937084
116.924265,53,32.141106
102.972256,49,32.330089
186.804009,69,32.604467
177.588155,66,32.864618
93.283462,48,33.052572
128.552652,55,33.271509
64.233116,40,33.427435
174.963442,65,33.682471
115.616877,52,33.893831
102.109837,49,34.096039
138.486992,58,34.64696
105.709654,50,34.887247
156.935309,64,35.138304
203.829498,74,35.419668
132.762934,55,35.626678
150.857656,60,35.858549
98.922356,50,36.04504
98.103279,47,36.222024
126.163868,55,36.42878
100.882439,48,36.609641
129.214278,54,36.817992
123.059322,54,37.022501
174.219124,65,37.26912
112.446681,51,37.466709
139.897727,59,37.693271
150.522088,61,37.937775
121.176432,53,38.135817
124.624777,54,38.339474
128.012379,56,38.556197
68.995096,42,38.725619
115.664112,52,38.933337
120.062145,53,39.132956
133.744647,55,39.351267
156.683037,61,39.597507
96.906242,47,39.782744
108.822271,50,39.979634
137.899954,58,40.203322
93.221778,47,40.386117
151.09492,60,40.617592
119.772675,53,40.81876
196.739729,72,41.09847
108.500469,51,41.291623
137.73664,57,41.513238
135.944369,56,41.733172
200.951132,73,42.017941
167.344324,64,42.264324
109.62707,51,42.459333
139.386744,58,43.041707
125.374819,54,43.272018
107.930236,51,43.468109
317.462594,99,43.852391
128.548673,54,44.065488
112.23441,52,44.266632
112.198513,52,44.462306
199.887082,72,44.735751
107.335245,51,44.935685
180.102354,67,45.197591
178.230174,67,45.458809
146.97637,60,45.701294
83.550446,45,45.87613
97.377212,48,46.066394
111.457821,52,46.275021
148.962109,58,46.499442
127.522546,56,46.70774
205.160529,72,46.994749
146.39172,59,47.228811
184.099282,68,47.496424
103.058072,50,47.693856
95.3503,48,47.88401
157.14246,62,48.129185
128.350058,56,48.351232
126.157028,56,48.574471
118.788472,53,48.781251
233.861583,80,49.103688
228.596343,80,49.412838
178.476788,67,49.672696
142.717769,59,49.902347
149.267175,59,50.146521
148.909746,60,50.382301
163.779002,63,50.626159
105.854697,51,50.822377
109.824028,51,51.382355
142.049017,59,51.645268
101.808569,49,51.834738
159.706772,62,52.07281
86.246909,46,52.318836
105.712527,50,52.512386
116.625076,53,52.719879
134.785444,56,52.947377
95.507152,47,53.13206
161.672052,64,53.385918
117.245991,52,53.581738
182.40475,68,53.834193
106.356451,50,54.029676
141.404549,59,54.251551
236.189058,80,54.56275
153.250491,60,54.79124
103.764345,50,54.990127
341.36453,105,55.393455
134.031921,56,55.606886
93.26517,48,55.792308
125.297495,54,56.006699
125.496358,54,56.209126
140.685056,58,56.429561
101.04991,49,56.618445
