#{"t_start": 1781113351.3320537, "env_id": "None"}
r,l,t
207.437747,73,1.536475
80.015869,44,1.69666
155.19003,61,1.928295
117.426094,53,2.130635
137.218955,58,2.352274
92.472836,46,2.533015
125.714906,54,2.732747
198.815343,71,2.996262
113.323697,51,3.191418
161.413104,61,3.424632
108.076471,51,3.61788
146.541359,59,3.841343
145.209094,59,4.067677
140.618965,58,4.286788
170.13244,65,4.536675
116.25343,53,4.74002
133.477037,56,4.95321
136.289295,57,5.172523
123.20337,54,5.375974
150.434034,60,5.607821
109.296473,51,5.805507
107.357902,50,5.998367
113.552055,52,6.20156
134.293121,57,6.420865
210.226327,73,6.704278
98.036378,48,6.890169
108.702857,50,7.088628
132.956353,56,7.304682
115.631255,51,7.500389
164.805871,63,7.741123
129.102307,55,7.956381
105.229766,51,8.162769
208.081563,73,8.44138
123.899816,54,8.647448
147.584264,60,8.882267
114.719619,52,9.087055
82.20268,44,9.59682
79.244816,44,9.777329
123.540777,54,9.990712
97.106991,47,10.184978
157.815821,62,10.426716
111.331392,52,10.627728
117.059305,52,10.827379
108.532542,51,11.025769
115.647238,52,11.233848
122.453786,54,11.446814
91.934593,47,11.628513
160.29549,62,11.871451
171.671838,65,12.124093
102.91968,50,12.320525
106.206822,51,12.520307
102.005835,49,12.709316
220.136388,77,13.011113
136.674006,57,13.241466
133.626409,57,13.461979
210.848848,74,13.75954
185.626458,69,14.032765
150.07851,60,14.276273
167.758996,64,14.553089
141.38623,59,14.793518
112.662757,52,14.99419
122.605194,53,15.204027
132.701049,56,15.421236
150.925958,60,15.648062
151.057168,60,15.88315
120.583695,53,16.078858
172.310222,65,16.32545
101.646042,49,16.512023
163.122,63,16.74944
93.123474,47,16.925256
193.862956,70,17.198008
117.23466,53,17.396598
136.579524,57,17.975892
112.485883,52,18.188395
137.460682,59,18.402336
127.20787,54,18.598639
117.705173,52,18.787548
258.684635,85,19.102786
209.244807,74,19.380815
144.323601,59,19.597724
112.225137,52,19.785818
145.54742,59,20.004666
97.130125,49,20.181325
143.225695,59,20.392957
131.111042,56,20.598423
127.751389,55,20.79035
146.15965,59,21.009694
124.854545,54,21.213013
121.800496,54,21.409929
148.241452,59,21.623523
130.376738,55,21.825678
129.007405,55,22.029315
128.641429,55,22.235765
122.09132,54,22.43941
105.570735,49,22.620443
163.048788,64,22.85993
149.399512,60,23.087518
137.423937,56,23.30358
243.247286,81,23.606192
96.369119,47,23.783542
116.993072,52,23.980899
106.455048,50,24.170924
133.219319,57,24.385281
109.994344,51,24.57855
135.287186,57,24.79398
92.606647,47,24.968436
153.580196,61,25.199724
81.064517,45,25.370311
96.180662,47,25.914347
158.251931,62,26.170238
96.558194,47,26.349138
66.684675,42,26.500205
128.411457,55,26.704022
256.948145,85,27.023419
146.78722,60,27.257601
99.492179,48,27.441957
326.371932,103,27.827316
180.413334,68,28.088595
215.74481,75,28.385118
147.541252,60,28.6218
156.166061,62,28.862539
99.671247,49,29.05496
131.561839,56,29.277773
147.247379,60,29.510883
130.272335,56,29.727167
123.428282,54,29.931553
121.297247,54,30.138503
89.967238,47,30.3271
156.927376,61,30.558366
120.995763,53,30.762609
106.81456,50,30.950094
129.574081,55,31.164222
107.744369,50,31.367399
137.942455,57,31.587
105.198787,49,31.778905
191.264692,71,32.058423
91.061343,46,32.242191
189.197739,69,32.511346
118.153996,53,32.721648
122.213427,53,32.927871
142.890187,58,33.155019
123.78709,54,33.37782
100.120653,49,33.578146
101.474534,49,33.763796
97.497606,47,34.322429
120.450288,53,34.529894
133.435229,56,34.74181
95.435307,48,34.925632
150.571615,61,35.161756
84.621258,46,35.336401
114.200389,52,35.528775
149.441298,60,35.754533
147.727255,60,35.982623
150.793786,59,36.201088
103.954836,50,36.398633
172.720457,65,36.64578
191.217516,70,36.91424
127.384484,55,37.125013
119.023585,53,37.335747
