#{"t_start": 1781113351.3864179, "env_id": "None"}
r,l,t
170.006593,66,1.456716
95.91482,49,1.633638
110.559749,51,1.825662
120.085995,55,2.036587
102.091398,50,2.224743
101.16239,49,2.417576
92.631602,47,2.596625
135.818735,57,2.810197
111.033463,50,2.995518
178.87536,66,3.245688
166.30921,64,3.489589
140.111097,58,3.705745
91.363928,48,3.890188
163.361613,64,4.135668
168.331571,65,4.38736
111.813676,51,4.580158
148.429132,60,4.810857
81.956668,45,4.98395
188.208077,70,5.246898
247.657139,83,5.567577
105.711983,50,5.761828
166.590036,64,6.007588
98.60846,48,6.195769
100.159072,48,6.381612
129.604861,56,6.599957
103.875062,49,6.788193
112.331301,52,6.987529
135.248681,57,7.212443
93.987736,47,7.395048
128.644645,55,7.603637
106.892566,50,7.797688
126.560294,54,8.008515
113.656778,51,8.214132
91.999876,47,8.393439
141.311673,58,8.614772
112.964374,52,8.818603
188.84503,70,9.409243
142.932178,59,9.670674
136.393174,57,9.900226
181.4848,69,10.178118
253.151338,84,10.505161
264.034325,87,10.839033
181.512051,67,11.105051
107.878319,51,11.303809
195.116662,71,11.580721
94.396371,46,11.761647
143.475937,59,11.988884
128.857935,56,12.208949
126.513901,55,12.42386
134.832221,56,12.643304
105.476737,50,12.840987
265.035738,88,13.190482
140.878003,58,13.417581
131.020027,55,13.636036
130.90994,57,13.861747
168.513881,65,14.125717
136.149798,57,14.359452
165.207128,63,14.627304
87.126037,45,14.805186
213.055868,75,15.101109
106.574911,50,15.297077
271.447129,89,15.633614
138.965105,58,15.859113
147.042922,59,16.082778
117.789903,54,16.285002
118.568493,53,16.489438
130.619365,55,16.693784
107.527679,50,16.881193
126.011546,55,17.094316
166.112975,63,17.334635
190.99308,69,17.964705
217.78285,77,18.260773
166.885045,64,18.493734
148.572747,59,18.706392
126.747578,54,18.908975
118.754705,52,19.102232
97.881258,48,19.279508
91.447116,46,19.449952
118.679018,53,19.64554
107.957155,51,19.829572
275.70581,89,20.155519
133.667678,56,20.35548
153.185603,61,20.578985
138.565547,57,20.779044
148.682204,59,20.998087
132.202369,56,21.208739
118.246743,51,21.395839
121.22461,53,21.588404
76.05031,42,21.743194
135.484213,55,21.945298
136.872687,57,22.158948
131.339719,55,22.366191
75.920557,44,22.530786
110.142921,52,22.719769
152.324621,60,22.948615
199.536195,71,23.224206
128.972397,55,23.427433
159.758743,62,23.660296
200.779015,72,23.933818
207.105473,73,24.211781
171.755934,65,24.453826
163.570919,64,24.695847
138.459014,57,24.909936
162.365507,62,25.145333
115.070234,52,25.340046
100.882067,49,25.902897
238.34391,81,26.223278
105.847557,51,26.408463
143.258984,58,26.624136
175.410809,66,26.870075
118.373772,52,27.065716
148.012235,58,27.295685
113.617835,53,27.498113
229.384727,80,27.793476
93.964073,47,27.975093
93.325245,47,28.162177
78.835643,43,28.330753
164.454522,63,28.577906
125.374477,54,28.787569
145.447979,59,29.019325
85.764899,45,29.201004
112.876948,53,29.406794
128.943193,56,29.621963
117.521102,52,29.818571
156.003808,62,30.05455
151.715133,62,30.303424
179.267074,68,30.557344
115.029782,51,30.755924
244.400922,82,31.072269
131.777459,55,31.293804
108.466383,50,31.486821
106.773682,51,31.684565
119.635518,54,31.894936
95.936039,47,32.079491
165.193896,65,32.34009
92.258424,47,32.523482
158.859169,62,32.769153
111.66778,51,32.965658
104.72761,50,33.165642
104.287795,51,33.3758
207.504782,74,33.668162
115.341505,50,34.229226
103.37887,50,34.430804
147.114489,60,34.661404
108.947458,50,34.855012
120.657557,53,35.053298
101.573693,49,35.242615
142.149689,59,35.464766
167.646233,64,35.702812
125.161116,54,35.908282
106.246764,49,36.092431
199.188771,71,36.36707
119.626073,54,36.568156
116.691282,53,36.771739
151.195629,62,37.009936
195.242216,70,37.288633
115.409636,52,37.488201
243.846865,81,37.794252
83.512129,45,37.9677
121.979154,54,38.183447
220.016484,76,38.482692
113.552197,52,38.683847
142.361321,58,38.918821
171.668959,66,39.176253
164.197954,62,39.420489
370.594957,113,39.857572
117.004266,53,40.061305
114.085722,52,40.261655
180.987592,67,40.52074
179.98839,67,40.777526
124.427559,55,40.991863
122.252403,55,41.208083
107.445097,51,41.406751
141.172046,58,41.631608
117.388804,53,41.83361
97.988598,49,42.352055
198.583995,72,42.677966
249.594505,83,42.999278
198.570813,71,43.274951
96.317351,49,43.470567
104.004769,49,43.658616
145.8371,59,43.880774
114.129843,52,44.077348
56.165725,39,44.223722
135.281536,57,44.455359
151.548583,60,44.687162
107.67158,51,44.885456
172.695663,65,45.14501
96.243921,48,45.336599
163.268546,64,45.587132
137.390034,58,45.816703
67.010419,42,45.982848
93.608863,48,46.156685
126.992373,54,46.373053
180.517468,67,46.639576
123.135855,54,46.852849
110.223065,51,47.052619
108.010707,51,47.250699
229.443997,79,47.567056
127.975651,55,47.785362
162.661492,63,48.037795
75.222485,43,48.204096
83.059964,45,48.389589
127.132912,54,48.599962
104.295395,49,48.789058
102.493923,48,48.9762
201.505334,74,49.262633
133.046842,55,49.48953
154.814431,60,49.725293
134.283253,56,49.944886
126.97807,55,50.15419
144.108762,59,50.38619
119.769548,53,50.992697
74.894773,43,51.155283
184.797167,69,51.417753
94.789204,47,51.599333
120.038365,53,51.875826
112.146496,51,52.071238
156.507491,62,52.316217
112.29508,53,52.530383
108.905394,50,52.731391
138.234165,57,52.94553
147.318292,59,53.166063
162.771759,64,53.415164
125.467077,54,53.62099
191.456775,70,53.886654
116.894535,53,54.091594
133.493906,57,54.310504
163.700969,63,54.555564
164.58484,63,54.800936
131.016399,55,55.009984
133.170802,57,55.229563
96.280472,48,55.421991
114.990257,51,55.612876
167.423471,65,55.860109
76.518017,43,56.026018
96.62544,47,56.194588
117.729786,52,56.399857
162.272857,63,56.649443
106.671086,49,56.844291
136.838768,58,57.065955
156.813318,63,57.312785
185.843007,69,57.588177
128.908408,56,57.807722
138.40894,57,58.02647
395.144128,117,58.48654
122.083029,54,58.694558
193.104735,70,59.36355
132.173706,56,59.587516
202.468286,73,59.859689
133.256173,56,60.065582
101.685969,49,60.248131
117.4924,52,60.443988
154.910501,62,60.678966
105.943194,50,60.864918
99.111658,49,61.050242
131.613656,57,61.268546
148.244026,59,61.495791
112.070548,52,61.696384
95.644495,47,61.873891
137.817735,56,62.090302
138.57246,58,62.308882
186.15188,68,62.574692
147.979367,60,62.799349
149.324302,59,63.027574
133.566328,56,63.249411
149.114591,60,63.478028
145.409939,59,63.713525
147.47023,59,63.9406
123.361522,54,64.151992
162.750087,64,64.402599
417.168638,123,64.886523
112.730622,51,65.082467
115.970749,52,65.282916
170.727584,65,65.538257
113.677898,52,65.734279
144.27269,58,65.962617
165.097235,64,66.208325
91.563482,46,66.38121
88.892346,46,66.544001
148.681751,60,66.747589
173.925026,65,66.969034
117.591477,53,67.534677
164.016828,63,67.781156
116.137176,51,67.971617
134.317582,57,68.18211
111.237099,51,68.365159
112.297815,51,68.545927
138.858382,56,68.744413
143.868963,59,68.954519
104.739626,49,69.128485
145.09077,59,69.342084
207.087582,73,69.60289
149.365171,60,69.812647
130.901971,57,70.01804
131.166742,56,70.229493
164.664963,63,70.459763
197.810444,71,70.715241
107.659115,51,70.901131
112.26539,52,71.07936
194.952261,70,71.329187
167.520227,64,71.559226
181.778877,67,71.797925
125.887227,54,71.991243
121.442801,53,72.180749
129.462893,55,72.376034
108.138232,50,72.555464
150.515337,60,72.762686
121.730777,54,72.956386
134.112702,57,73.159316
134.035441,57,73.362242
143.553604,60,73.574594
125.782198,55,73.774113
310.913431,98,74.121765
133.941228,57,74.322441
138.89032,58,74.528664
144.819241,58,74.737058
138.086344,58,75.379619
148.764384,59,75.603716
106.945249,50,75.787524
111.820277,53,75.980746
120.218045,53,76.169208
91.297532,47,76.334072
99.42504,49,76.50475
106.116588,51,76.684747
233.89169,79,76.99668
113.30147,52,77.187471
127.55922,55,77.386687
155.021015,60,77.605745
76.756295,43,77.759951
183.184057,68,78.000254
130.6413,56,78.197756
130.468079,56,78.392638
156.905229,62,78.616808
117.410964,53,78.806093
98.603677,48,78.973725
121.544113,54,79.174326
195.050989,70,79.423653
183.650387,67,79.663738
105.780422,50,79.845806
124.54458,54,80.033893
162.377314,62,80.2496
135.762342,56,80.444669
106.473294,51,80.626995
165.208208,64,80.85161
136.257123,57,81.060201
141.465164,58,81.266859
137.148907,58,81.474535
89.856137,46,81.640214
124.258862,54,81.828106
187.405628,70,82.074122
112.990206,51,82.249143
116.733854,52,82.428995
160.223904,62,83.057044
137.774813,57,83.268224
165.029969,64,83.502854
149.981563,60,83.725781
83.795978,44,83.882886
194.446159,69,84.129962
90.57749,46,84.289836
185.495269,67,84.523243
134.410983,56,84.721557
111.537659,50,84.895086
127.508243,55,85.088668
167.32894,64,85.312276
210.81504,73,85.573378
75.342359,43,85.73051
129.380607,56,85.926954
161.489552,62,86.139124
123.373969,54,86.328788
134.137689,56,86.519413
204.989213,72,86.782021
106.10972,49,86.953061
124.142266,55,87.149662
154.833223,61,87.364059
108.262943,50,87.542481
164.257148,64,87.770129
123.916968,54,87.962318
92.023283,46,88.121821
160.59607,63,88.344917
161.034072,64,88.568677
