#{"t_start": 1781113351.0648024, "env_id": "None"}
r,l,t
308.011525,97,1.889748
165.300704,65,2.132186
153.044051,60,2.362635
148.079395,60,2.591504
106.902159,50,2.788617
172.738391,66,3.031837
112.995316,51,3.223102
194.566109,74,3.502301
120.487868,54,3.709385
132.217082,56,3.92066
157.647309,63,4.159259
148.449426,59,4.388816
118.07341,53,4.590642
143.708842,58,4.810371
123.58975,54,5.016799
114.016958,53,5.219329
149.436186,61,5.45379
129.415264,56,5.66405
167.5067,64,5.912421
99.323726,48,6.098354
145.575892,59,6.323335
149.986543,59,6.555721
115.674501,52,6.756679
136.53393,58,6.984285
118.71026,53,7.186862
155.615384,61,7.42587
111.227518,50,7.622637
169.849476,65,7.865472
93.724563,47,8.048184
195.071172,70,8.322943
90.40993,46,8.506105
260.580255,84,8.827687
129.440252,55,9.04284
95.304889,49,9.236413
146.63909,59,9.791138
106.651416,49,10.005262
103.992584,49,10.202007
107.046797,52,10.41091
132.903951,57,10.635016
61.113404,39,10.785616
106.381857,50,10.979329
158.873206,62,11.216153
185.194014,67,11.485534
175.467197,67,11.746806
109.972153,50,11.945511
201.88518,72,12.219697
114.384076,52,12.424285
136.465273,57,12.647849
71.778754,41,12.809928
145.399853,59,13.040497
86.136512,45,13.217077
114.915808,52,13.426328
126.529188,54,13.634615
124.024264,53,13.844193
134.350211,57,14.075651
105.373169,50,14.271819
113.169645,52,14.485741
93.930386,47,14.67516
135.855875,56,14.918945
158.207386,61,15.157829
204.995749,72,15.44095
191.616662,71,15.717116
140.735483,58,15.93711
124.748087,53,16.1453
142.960639,57,16.357174
139.675022,59,16.580759
184.837114,68,16.838301
154.18379,62,17.071628
266.945924,87,17.404434
147.147882,59,17.627957
122.536716,54,18.181828
123.241432,54,18.408401
113.309712,53,18.611462
107.735855,50,18.792474
133.038134,55,18.992446
129.571274,56,19.200475
351.096078,107,19.597193
88.515495,47,19.770492
122.195868,54,19.969781
124.826715,56,20.173061
105.585015,51,20.356868
125.639072,54,20.556324
81.600184,45,20.719586
206.717949,73,20.982993
198.237023,72,21.243715
130.435709,56,21.45155
86.976436,47,21.626051
117.128067,53,21.817041
100.310162,49,22.000368
120.504983,54,22.19616
114.616012,52,22.388715
91.645015,47,22.566072
145.9429,59,22.791034
121.864319,54,22.98431
134.301571,56,23.19625
147.76638,60,23.431301
70.583314,41,23.584349
131.36376,57,23.798874
171.363341,66,24.046011
274.379311,91,24.38905
205.371961,73,24.667503
117.749156,52,24.861451
75.671776,42,25.020448
103.392099,50,25.208845
137.187208,56,25.41856
170.336258,65,25.665328
102.436652,49,26.229077
106.393864,50,26.430207
130.896693,55,26.635305
77.210417,44,26.799412
210.353169,75,27.07576
101.117806,48,27.257838
106.14512,49,27.444988
89.79714,46,27.624559
87.720085,46,27.80171
114.623982,52,27.993571
156.869321,62,28.227276
129.694533,56,28.44458
117.9489,53,28.656337
184.905037,69,28.925832
