#{"t_start": 1781113350.8857193, "env_id": "None"}
r,l,t
169.499428,63,1.946018
106.520089,50,2.12778
105.568507,49,2.311983
109.586836,51,2.507828
109.732219,52,2.701536
243.248844,82,3.022239
75.32703,42,3.179018
169.197838,65,3.420351
116.802631,52,3.619077
169.910262,65,3.866584
164.060326,63,4.103955
128.2991,55,4.312288
116.650402,52,4.513662
122.166743,53,4.713776
93.42131,47,4.896538
121.391442,54,5.100384
113.661474,52,5.300132
74.76946,42,5.463485
106.79279,49,5.647901
70.89545,42,5.807148
121.505796,53,6.011676
113.854574,53,6.217304
154.64969,61,6.451095
122.435236,53,6.660379
101.765833,49,6.847486
164.147212,62,7.089382
180.78593,68,7.35151
166.911617,64,7.601276
138.604354,57,7.823984
127.486924,55,8.030806
129.219661,55,8.242978
222.274038,78,8.552715
129.844608,56,8.771799
147.09622,60,8.999798
110.515655,51,9.200709
144.018196,60,9.435493
187.055871,69,10.042092
120.516311,54,10.266649
121.178527,54,10.482102
208.327274,74,10.774091
209.00701,74,11.062255
134.286592,56,11.277637
104.258564,49,11.467812
278.070962,89,11.821831
236.414814,80,12.137086
93.186993,47,12.317349
113.175316,52,12.514365
136.370818,59,12.750423
132.436678,56,12.970002
118.407889,53,13.176723
119.261808,53,13.38433
100.646644,49,13.582117
92.960193,46,13.761064
208.091874,73,14.049073
103.860187,50,14.248953
109.506039,51,14.451346
125.404558,54,14.67377
116.480954,51,14.885535
101.549534,49,15.094646
179.285471,68,15.360713
170.007937,64,15.613556
156.873133,61,15.849831
136.606652,58,16.068059
104.862828,50,16.2642
125.031775,54,16.469648
132.523143,57,16.689327
178.007997,68,16.943061
204.312497,73,17.217787
387.950026,116,17.662757
142.212464,59,17.884024
120.033909,54,18.45702
109.719825,50,18.65672
137.115652,57,18.861569
104.434007,50,19.044688
87.403896,47,19.21575
163.047502,62,19.446785
129.338108,56,19.65936
169.449489,64,19.89046
188.2132,69,20.145132
141.927061,58,20.356589
126.656721,55,20.556289
153.866892,62,20.784611
186.317534,69,21.032079
107.79,51,21.213151
198.673273,71,21.474648
97.363335,47,21.651364
83.276363,45,21.816592
161.402628,64,22.048007
138.352821,57,22.258026
114.438319,52,22.450425
123.094405,55,22.65666
125.023395,55,22.862555
126.217745,54,23.060815
196.634855,71,23.328352
134.588204,57,23.544634
142.023563,59,23.772851
125.008223,54,23.97374
130.447238,55,24.180138
110.982035,51,24.376508
133.875555,56,24.585204
109.032963,52,24.78153
158.847486,62,25.016922
96.035141,47,25.192873
126.78854,55,25.399961
137.969664,58,25.616775
111.612397,51,25.812582
135.938118,57,26.40342
84.698922,45,26.586327
111.54902,51,26.780553
121.814081,54,26.979556
100.793694,50,27.161427
150.67967,62,27.396189
176.514472,66,27.652022
109.795931,50,27.844839
117.962186,53,28.043582
168.798003,64,28.281017
101.711149,50,28.472697
120.22593,53,28.682685
133.398234,57,28.903136
184.588649,69,29.177427
129.396982,55,29.394099
110.10744,52,29.596359
132.053077,55,29.815648
126.789978,54,30.022637
167.234493,64,30.26828
175.231038,65,30.512202
159.050186,62,30.760058
122.99476,55,30.967159
114.13448,52,31.16681
200.74921,72,31.445186
95.438328,48,31.630937
124.453514,55,31.852138
84.346926,45,32.025573
112.974691,52,32.228824
109.793464,52,32.43367
136.385808,58,32.661889
214.553669,75,32.956421
107.062909,51,33.157301
115.47377,53,33.365952
112.120938,52,33.567015
146.95803,59,33.809725
105.249805,49,34.011714
136.386261,56,34.225573
112.340094,53,34.8067
143.615985,58,35.035244
162.792471,63,35.274575
104.853084,50,35.463506
194.098233,71,35.736645
147.172246,59,35.958522
130.016637,56,36.167515
169.269083,64,36.409875
168.002173,64,36.647338
147.483591,59,36.881574
123.791622,54,37.08236
90.224152,46,37.257985
106.888354,51,37.455749
143.420347,58,37.680514
106.333346,51,37.884355
125.66946,54,38.088318
104.166689,50,38.274283
116.460366,52,38.476199
101.811611,50,38.676992
110.22489,51,38.879131
155.419056,61,39.114248
124.331598,54,39.328825
